title,director,release year,domestic distributor,length in min,film budget,worldwide gross,imdb rating
Avengers: Endgame,Anthony e Joe Russo,2019,Walt Disney,181,"356,000,000","2,797,800,564",8.5
Joker,Todd Phillips,2019,Warner Bros.,122,"55,000,000","1,071,030,470",8.6
Aquaman,James Wan,2018,Warner Bros.,143,"160,000,000","1,148,161,807",7
Venom,Ruben Fleischer,2018,Sony Pictures,112,"100,000,000","856,085,151",6.7
Wonder Woman,Patty Jenkins,2017,Walt Disney,130,"180,000,000","853,977,126",7.9
Thor: Ragnarok,Taika Waititi,2017,Warner Bros.,141,"149,000,000","821,847,012",7.4
Jurassic World,Colin Trevorrow,2015,Universal Pictures,124,"150,000,000","1,670,400,637",7
Inside Out,Pete Docter,2015,Walt Disney,95,"175,000,000","857,611,174",8.2
Maleficent,Robert Stromberg,2014,Walt Disney,97,"180,000,000","758,410,378",7
Captain America: The Winter Soldier,Anthony e Joe Russo,2014,Walt Disney,136,"170,000,000","714,421,503",7.7